ticker,sector,start_price,end_price,daily_vol,trading_days,total_return_pct,annualized_vol_pct,return_per_risk
EICHERMOT.NS,Auto,5577.6767578125,7557.0,0.016917979254664366,249,35.48651756154775,26.856459476155077,1.3213401264993625
SBIN.NS,Banking,814.32177734375,1041.5999755859375,0.014236277392012763,250,27.91012159634858,22.599389744758174,1.2349944804515
BAJAJ-AUTO.NS,Auto,8214.396484375,10434.0,0.01401297246130682,249,27.02089581196885,22.244904156848712,1.2147004824765548
APOLLOHOSP.NS,Pharma,7331.37060546875,8850.0,0.012136175104101943,249,20.714126679102087,19.265580715792296,1.0751882844684975
NESTLEIND.NS,FMCG,1212.147216796875,1427.5,0.013035763089930005,250,17.766223460232776,20.693632371545824,0.858535763139472
COALINDIA.NS,Energy,360.5514526367188,427.1000061035156,0.014016298058049954,250,18.45743595820406,22.250183378014647,0.8295408466809225
SUNPHARMA.NS,Pharma,1687.982666015625,1946.5999755859373,0.01239548388834766,249,15.32108799320564,19.6772206493255,0.7786205311333347
AXISBANK.NS,Banking,1158.90625,1328.5,0.01491157267281497,250,14.633949035998373,23.67138776948108,0.61821255173157
HEROMOTOCO.NS,Auto,4293.71923828125,4905.10009765625,0.016668968889501815,249,14.23895754347766,26.461167776096584,0.5381076777851155
MARUTI.NS,Auto,12342.4130859375,13807.0,0.015536075690646535,249,11.86629311355003,24.662755576396073,0.48114222584709376
DIVISLAB.NS,Pharma,6759.72021484375,7296.5,0.014228416022481956,248,7.940858025122521,22.58691020751244,0.3515690261380408
ONGC.NS,Energy,231.34832763671875,247.1000061035156,0.014534889009298044,250,6.808641595858589,23.073420991517164,0.2950859171841815
NTPC.NS,Energy,333.839599609375,342.8999938964844,0.011889729311223727,250,2.7139962717757093,18.87436014802396,0.14379275644265216
ICICIBANK.NS,Banking,1407.8370361328125,1434.5,0.011820900415108835,250,1.8938956131192564,18.7650976627429,0.10092649913991575
TECHM.NS,IT,1508.300537109375,1532.5,0.017375857981965576,249,1.6044191654935425,27.583319421994535,0.058166283069404696
M&M.NS,Auto,3161.79638671875,3164.0,0.017434176574714817,250,0.069694977529422,27.67589731792998,0.0025182553876679447
TATACONSUM.NS,FMCG,1096.5216064453125,1086.5999755859375,0.014132309767313197,249,-0.9048276660538201,22.434346257143886,-0.04033225018828847
POWERGRID.NS,Energy,287.21295166015625,284.25,0.012474356882363856,250,-1.0316218830069168,19.802427645721064,-0.052095727931107026
DRREDDY.NS,Pharma,1255.1402587890625,1212.5,0.014888314342776515,250,-3.3972505057085045,23.63446631516563,-0.14374136739142598
CIPLA.NS,Pharma,1468.6220703125,1419.0,0.01356821669782708,250,-3.3788182348329587,21.538876270250682,-0.156870683151644
BRITANNIA.NS,FMCG,5732.376953125,5334.5,0.012843102685302369,249,-6.94087210904889,20.387793460665545,-0.340442535992922
RELIANCE.NS,Energy,1463.7591552734375,1322.0,0.012822398348948794,250,-9.684595636018834,20.354926345634226,-0.47578632668921494
KOTAKBANK.NS,Banking,432.9126281738281,382.8999938964844,0.01371422321777786,250,-11.55259306902503,21.770654435200935,-0.5306497837908658
HCLTECH.NS,IT,1465.5301513671875,1203.300048828125,0.017515919674990436,250,-17.893190549128523,27.805660466764802,-0.6435089204414213
HINDUNILVR.NS,FMCG,2465.14990234375,2134.0,0.012893190318312783,249,-13.433256210054733,20.4673051130888,-0.6563275495152605
HDFCBANK.NS,Banking,974.8602294921876,818.9000244140625,0.012699982578710526,250,-15.99821188308872,20.160597334872502,-0.7935385850604756
INFY.NS,IT,1526.5894775390625,1098.4000244140625,0.018252460155318725,250,-28.04876225239431,28.974882231653233,-0.9680371443150443
TCS.NS,IT,3081.287109375,2223.800048828125,0.016524908107199258,250,-27.82885950283307,26.23247837390659,-1.060855139425728
WIPRO.NS,IT,249.1407928466797,175.1300048828125,0.01583952729693073,250,-29.706411028969125,25.14447006749871,-1.1814291949372637
ITC.NS,FMCG,404.2347106933594,280.29998779296875,0.012188934321713984,250,-30.65909968191818,19.349333377292975,-1.5845041833791316
